index,customer_id,demand_whole_mtons,demand_mush_mtons,xlon,ylat,distance_km,distance_m
525,525,0,9879.049262,-119.899129,46.26642649,1687.0606,1687060.6
526,526,0,15187.13578,-88.44722289,43.77291547,3371.6798,3371679.8
527,527,0,65.8615584,-88.826,43.8582,3379.5974,3379597.4
528,528,0,296724.4605,-83.12754261,39.95723189,3687.8775,3687877.5
529,529,0,19225.00695,-89.9059,35.0416,2995.8916,2995891.6
530,530,0,2714.89742,-118.173,33.9977,108.6139,108613.9
531,531,0,4834.432524,-118.195,34.0158,104.4675,104467.5
532,532,0,94857.7474,-81.7599,40.8441,3859.9417,3859941.7
533,533,0,173.2300507,-121.7570667,36.91008858,444.8974,444897.4
534,534,0,10973.57635,-121.771,36.8659,442.9398,442939.8
535,535,0,4018.250255,-119.173,34.1938,1.9813,1981.3
536,536,81.46149446,0,-81.7875,27.9517,4170.9657,4170965.7
537,537,0.03628736,0,-118.144516,34.14763784,102.5999,102599.9
538,538,0.043907706,0,-117.546,34.0938,164.0903,164090.3
539,539,0.403878317,0,-88.1192,42.9505,3378.0712,3378071.2
540,540,0.012700576,0,-87.7804,41.757,3330.1511,3330151.1
541,541,3.847911654,0,-77.38324869,44.16276335,4319.9351,4319935.1
542,542,0.012700576,0,-122.4786877,48.75190397,1978.848,1978848
543,543,76.16716864,0,-84.9539,40.8227,3607.3295,3607329.5
544,544,348.358656,0,-82.3549,34.8438,3826.2588,3826258.8
545,545,425.3604339,0,-86.25023989,39.73034651,3406.1411,3406141.1
546,546,266.7846707,0,-86.8574,40.39,3470.7963,3470796.3
547,547,585.2425421,0,-81.6023,27.9105,4178.4736,4178473.6
548,548,993.3356357,0,-76.3866,40.0866,4337.0524,4337052.4
549,549,0.152406912,0,-105.595,41.31,1781.1974,1781197.4
550,550,1.130351264,0,-89.2976,43.0653,3257.0361,3257036.1
551,551,83.60607744,0,-82.5542,27.4881,4225.4942,4225494.2
552,552,1043.245634,0,-86.3618,38.3853,3401.6426,3401642.6
553,553,87.089664,0,-95.79119203,44.44841762,2922.193,2922193
554,554,249.0332571,0,-87.7897,42.0192,3335.6162,3335616.2
555,555,83.60607744,0,-74.1517,40.9116,4565.4988,4565498.8
556,556,1681.725361,0,-117.377,34.0163,183.2433,183243.3
557,557,801.1320132,0,-80.07042767,26.77125888,4382.9594,4382959.4
558,558,16487.74388,0,-123,44.9805,1490.2576,1490257.6
559,559,905.0793331,0,-121.202,45.6304,1543.8726,1543872.6
560,560,1460.970844,0,-83.591,41.6941,3700.2987,3700298.7
561,561,0.130634496,0,-122.2731041,37.87153419,579.9134,579913.4
562,562,588.7261286,0,-82.5542,27.4881,4225.4942,4225494.2
563,563,0.002540115,0,-75.1196199,39.92594834,4459.5621,4459562.1
564,564,0.002540115,0,-88.966,42.2352,3253.5085,3253508.5
565,565,0.060962765,0,-84.4816,39.1921,3583.2914,3583291.4
566,566,3552.56611,0,-117.978,34.0397,123.9032,123903.2
567,567,1.30634496,0,-81.6593,41.4882,3865.5493,3865549.3
568,568,4.60849472,0,-117.584,33.8927,172.7375,172737.5
569,569,65.46239744,0,-87.8615,41.7941,3319.8074,3319807.4
570,570,0.00508023,0,-97.18979649,33.21955388,2330.015,2330015
571,571,0.005261667,0,-93.3549,44.8702,3140.1639,3140163.9
572,572,83.60607744,0,-86.45938121,40.0503679,3444.6651,3444665.1
573,573,495.4193513,0,-117.143,32.8945,277.1837,277183.7
574,574,24.96570368,0,-119.552,36.7001,351.236,351236
575,575,85.83557284,0,-97.3398,32.7859,2362.2956,2362295.6
576,576,147.471831,0,-79.76244572,43.73158547,4126.3626,4126362.6
577,577,161.1880902,0,-82.324,27.9196,4168.111,4168111
578,578,0.010160461,0,-89.4957,41.8342,3175.9302,3175930.2
579,579,96.40825805,0,-111.902,40.5333,1169.3073,1169307.3
580,580,0.076203456,0,-118.491,34.141,71.871,71871
581,581,0.152406912,0,-87.885,41.9369,3321.525,3321525
582,582,1.41520704,0,-122.055,37.6144,543.8234,543823.4
583,583,0.040641843,0,-89.052,37.8112,3194.1235,3194123.5
584,584,112.8536896,0,-81.7225,30.3246,3980.6234,3980623.4
585,585,83.60607744,0,-86.5122,40.0245,3433.1561,3433156.1
586,586,5.22537984,0,-118.3520394,34.02565608,96.3476,96347.6
587,587,83.60607744,0,-74.49248289,40.57233691,4558.8132,4558813.2
588,588,102.2577805,0,-79.64412023,43.58879116,4120.747,4120747
589,589,60.9627648,0,-86.3289,41.3594,3456.2204,3456220.4
590,590,80.62325645,0,-80.12476721,26.23785544,4443.5214,4443521.4
591,591,61.73967718,0,-94.144,45.5945,3140.2498,3140249.8
592,592,2586.594319,0,-86.3172,41.7149,3461.9776,3461977.6
593,593,1989.412328,0,-86.252,41.675,3452.3204,3452320.4
594,594,1537.078864,0,-74.4004,40.5728,4569.6195,4569619.5
595,595,0.007620346,0,-76,36.8229,4434.6464,4434646.4
596,596,366.7527188,0,-88.2061,43.0509,3352.6804,3352680.4
597,597,233.8658663,0,-111.926,40.7223,1194.3388,1194338.8
598,598,1324.674431,0,-118.243,33.7925,123.9208,123920.8
599,599,2906.506406,0,-81.7354,27.9917,4168.445,4168445
600,600,29.56694093,0,-79.3241,42.4741,4101.8457,4101845.7
