index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat
1,1,8120,49.67271586,403342.4528,Ventura,-119.1235692,34.25890847
2,1,7700,49.67271586,382479.9121,Ventura,-119.1563429,34.25391547
3,1,12840,49.67271586,637797.6716,Ventura,-119.1418967,34.2637488
4,1,15000,49.67271586,745090.7379,Ventura,-119.104911,34.2212826
5,1,9800,49.67271586,486792.6154,Watsonville,-121.6999652,36.91962572
6,1,10630,49.67271586,528020.9696,Watsonville,-121.7197945,36.943825
7,1,11900,49.67271586,591105.3187,Watsonville,-121.8072828,36.95930486
8,1,18600,49.67271586,923912.515,Watsonville,-121.8335191,36.91586478
9,1,12300,49.67271586,610974.4051,Watsonville,-121.7480686,36.90428032
10,1,16730,49.67271586,831024.5363,Watsonville,-121.7480849,36.93073472
11,1,20000,49.67271586,993454.3172,Watsonville,-121.683162,36.92716262
