index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat,yield_kg_per_ha_-10%,yield_kg_per_ha_+10%
1,1,3120,26.97776851,84170.63775,Ventura,-119.1235692,34.25890847,24.27999166,29.67554536
2,2,2700,26.97776851,72839.97498,Ventura,-119.1563429,34.25391547,24.27999166,29.67554536
3,3,7840,26.97776851,211505.7051,Ventura,-119.1418967,34.2637488,24.27999166,29.67554536
4,4,10000,26.97776851,269777.6851,Ventura,-119.104911,34.2212826,24.27999166,29.67554536
5,5,4800,26.97776851,129493.2888,Watsonville,-121.6999652,36.91962572,24.27999166,29.67554536
6,6,5630,26.97776851,151884.8367,Watsonville,-121.7197945,36.943825,24.27999166,29.67554536
7,7,6900,26.97776851,186146.6027,Watsonville,-121.8072828,36.95930486,24.27999166,29.67554536
8,8,11600,26.97776851,312942.1147,Watsonville,-121.8335191,36.91586478,24.27999166,29.67554536
9,9,7300,26.97776851,196937.7101,Watsonville,-121.7480686,36.90428032,24.27999166,29.67554536
10,10,9730,26.97776851,262493.6876,Watsonville,-121.7480849,36.93073472,24.27999166,29.67554536
11,11,13000,26.97776851,350710.9906,Watsonville,-121.683162,36.92716262,24.27999166,29.67554536
12,12,7400,26.97776851,199635.487,Baja_Erendira,-116.3788397,31.27176526,24.27999166,29.67554536
13,13,9200,26.97776851,248195.4703,Baja_Erendira,-116.3591927,31.255104,24.27999166,29.67554536
14,14,8800,26.97776851,237404.3629,Baja_San Quintin,-115.975757,30.568211,24.27999166,29.67554536
15,15,12600,26.97776851,339919.8832,Baja_San Quintin,-115.933821,30.612741,24.27999166,29.67554536
16,16,11500,26.97776851,310244.3379,Baja_San Quintin,-115.956055,30.540498,24.27999166,29.67554536
17,17,14600,26.97776851,393875.4202,Baja_San Quintin,-116.039187,30.493744,24.27999166,29.67554536
