index,ProcessingPlant_id,warehouse_id,distance_km,distance_m
1,1,1,1.9891,1989.1
2,1,2,446.6878,446687.8
3,1,3,447.4727,447472.7
4,1,4,442.1483,442148.3
5,1,5,164.1906,164190.6
6,1,6,555.6559,555655.9
7,1,7,554.6554,554655.4
8,1,8,108.4719,108471.9
9,1,9,1498.8938,1498893.8
10,1,10,1605.3747,1605374.7
11,1,11,1707.5445,1707544.5
