index,warehouse_id,customer_id,distance_km
1,1,1,309.9715
2,1,2,2024.5458
3,1,3,4412.4377
4,1,4,197.2989
5,1,5,4902.8406
6,1,6,3720.7712
7,1,7,3334.6411
8,1,8,3584.7608
9,1,9,128.4397
10,1,10,4534.2869
11,1,11,4642.1121
12,1,12,1993.6673
13,1,13,1790.5095
14,1,14,3413.9929
15,1,15,160.2245
16,1,16,4412.2323
17,1,17,1684.1627
18,1,18,4612.69
19,1,19,208.5727
20,1,20,4470.2259
21,1,21,3880.6493
22,1,22,1494.2484
23,1,23,3609.7187
24,1,24,525.6989
25,1,25,3561.3432
26,1,26,4328.9399
27,1,27,2360.4212
28,1,28,126.0636
29,1,29,277.1837
30,1,30,136.1808
31,1,31,108.358
32,1,32,3352.2985
33,1,33,3871.0601
34,1,34,4618.1335
35,1,35,4493.1638
36,1,36,3723.4598
37,1,37,4210.972
38,1,38,1808.5213
39,1,39,115.1883
40,1,40,1945.3828
41,1,41,3828.4414
42,1,42,4909.6276
43,1,43,1551.3394
44,1,44,4310.5423
45,1,45,3552.5876
46,1,46,5.2493
47,1,47,4939.6963
48,1,48,2810.6438
49,1,49,150.4236
50,1,50,3782.9445
51,1,51,2.6114
52,1,52,3279.6994
53,1,53,3149.3748
54,1,54,3581.544
55,1,55,1580.6229
56,1,56,2365.9719
57,1,57,2695.8845
58,1,58,3948.8037
59,1,59,1358.1006
60,1,60,232.3621
61,1,61,133.1762
62,1,62,2022.2792
63,1,63,2314.2703
64,1,64,3060.5504
65,1,65,1346.456
66,1,66,1804.1672
67,1,67,4329.7752
68,1,68,2314.2703
69,1,69,4310.204
70,1,70,3594.9494
71,1,71,3611.7393
72,1,72,3326.3721
73,1,73,2586.7323
74,1,74,3505.3048
75,1,75,427.6379
76,1,76,2967.9923
77,1,77,3530.9802
78,1,78,1854.2271
79,1,79,3333.3169
80,1,80,4757.6994
81,1,81,3441.517
82,1,82,1238.7935
83,1,83,3706.2414
84,1,84,369.5438
85,1,85,188.4198
86,1,86,121.6629
87,1,87,3626.3985
88,1,88,3128.9567
89,1,89,1448.4781
90,1,90,4181.4639
91,1,91,2408.2223
92,1,92,4066.7181
93,1,93,176.4766
94,1,94,1566.0894
95,1,95,3976.8831
96,1,96,3036.1905
97,1,97,4612.69
98,1,98,129.2024
99,1,99,157.074
100,1,100,2296.3473
101,1,101,3592.3136
102,1,102,3144.3622
103,1,103,2358.2406
