index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat
1,1,8120,8.20318525,66609.86423,Ventura,-119.1235692,34.25890847
2,1,7700,8.20318525,63164.52643,Ventura,-119.1563429,34.25391547
3,1,12840,8.20318525,105328.8986,Ventura,-119.1418967,34.2637488
4,1,15000,8.20318525,123047.7788,Ventura,-119.104911,34.2212826
5,1,9800,8.20318525,80391.21545,Watsonville,-121.6999652,36.91962572
6,1,10630,8.20318525,87199.85921,Watsonville,-121.7197945,36.943825
7,1,11900,8.20318525,97617.90448,Watsonville,-121.8072828,36.95930486
8,1,18600,8.20318525,152579.2457,Watsonville,-121.8335191,36.91586478
9,1,12300,8.20318525,100899.1786,Watsonville,-121.7480686,36.90428032
10,1,16730,8.20318525,137239.2892,Watsonville,-121.7480849,36.93073472
11,1,20000,8.20318525,164063.705,Watsonville,-121.683162,36.92716262
