index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat
1,1,8120,47.55670513,386160.4457,Ventura,-119.1235692,34.25890847
2,1,7700,47.55670513,366186.6295,Ventura,-119.1563429,34.25391547
3,1,12840,47.55670513,610628.0939,Ventura,-119.1418967,34.2637488
4,1,15000,47.55670513,713350.577,Ventura,-119.104911,34.2212826
5,1,9800,47.55670513,466055.7103,Watsonville,-121.6999652,36.91962572
6,1,10630,47.55670513,505527.7755,Watsonville,-121.7197945,36.943825
7,1,11900,47.55670513,565924.791,Watsonville,-121.8072828,36.95930486
8,1,18600,47.55670513,884554.7154,Watsonville,-121.8335191,36.91586478
9,1,12300,47.55670513,584947.4731,Watsonville,-121.7480686,36.90428032
10,1,16730,47.55670513,795623.6768,Watsonville,-121.7480849,36.93073472
11,1,20000,47.55670513,951134.1026,Watsonville,-121.683162,36.92716262
