index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat,yield_kg_per_ha_-10%,yield_kg_per_ha_+10%
1,1,3120,24.21881344,75562.69793,Ventura,-119.1235692,34.25890847,21.7969321,26.64069478
2,2,2700,24.21881344,65390.79629,Ventura,-119.1563429,34.25391547,21.7969321,26.64069478
3,3,7840,24.21881344,189875.4974,Ventura,-119.1418967,34.2637488,21.7969321,26.64069478
4,4,10000,24.21881344,242188.1344,Ventura,-119.104911,34.2212826,21.7969321,26.64069478
5,5,4800,24.21881344,116250.3045,Watsonville,-121.6999652,36.91962572,21.7969321,26.64069478
6,6,5630,24.21881344,136351.9197,Watsonville,-121.7197945,36.943825,21.7969321,26.64069478
7,7,6900,24.21881344,167109.8127,Watsonville,-121.8072828,36.95930486,21.7969321,26.64069478
8,8,11600,24.21881344,280938.2359,Watsonville,-121.8335191,36.91586478,21.7969321,26.64069478
9,9,7300,24.21881344,176797.3381,Watsonville,-121.7480686,36.90428032,21.7969321,26.64069478
10,10,9730,24.21881344,235649.0548,Watsonville,-121.7480849,36.93073472,21.7969321,26.64069478
11,11,13000,24.21881344,314844.5747,Watsonville,-121.683162,36.92716262,21.7969321,26.64069478
12,12,7400,24.21881344,179219.2195,Baja_Erendira,-116.3788397,31.27176526,21.7969321,26.64069478
13,13,9200,24.21881344,222813.0836,Baja_Erendira,-116.3591927,31.255104,21.7969321,26.64069478
14,14,8800,24.21881344,213125.5583,Baja_San Quintin,-115.975757,30.568211,21.7969321,26.64069478
15,15,12600,24.21881344,305157.0493,Baja_San Quintin,-115.933821,30.612741,21.7969321,26.64069478
16,16,11500,24.21881344,278516.3546,Baja_San Quintin,-115.956055,30.540498,21.7969321,26.64069478
17,17,14600,24.21881344,353594.6762,Baja_San Quintin,-116.039187,30.493744,21.7969321,26.64069478
