index,parcel_id,size_parcels_ha,yield_kg_per_ha,yield_tot_mtons,county,xlon,ylat,yield_kg_per_ha_-10%,yield_kg_per_ha_+10%
1,1,3120,8.20318525,25593.93798,Ventura,-119.1235692,34.25890847,7.382866725,9.023503775
2,2,2700,8.20318525,22148.60018,Ventura,-119.1563429,34.25391547,7.382866725,9.023503775
3,3,7840,8.20318525,64312.97236,Ventura,-119.1418967,34.2637488,7.382866725,9.023503775
4,4,10000,8.20318525,82031.8525,Ventura,-119.104911,34.2212826,7.382866725,9.023503775
5,5,4800,8.20318525,39375.2892,Watsonville,-121.6999652,36.91962572,7.382866725,9.023503775
6,6,5630,8.20318525,46183.93296,Watsonville,-121.7197945,36.943825,7.382866725,9.023503775
7,7,6900,8.20318525,56601.97823,Watsonville,-121.8072828,36.95930486,7.382866725,9.023503775
8,8,11600,8.20318525,95156.9489,Watsonville,-121.8335191,36.91586478,7.382866725,9.023503775
9,9,7300,8.20318525,59883.25233,Watsonville,-121.7480686,36.90428032,7.382866725,9.023503775
10,10,9730,8.20318525,79816.99248,Watsonville,-121.7480849,36.93073472,7.382866725,9.023503775
11,11,13000,8.20318525,106641.4083,Watsonville,-121.683162,36.92716262,7.382866725,9.023503775
12,12,7450,8.20318525,60703.57085,Baja_Erendira,-116.3788397,31.27176526,7.382866725,9.023503775
13,13,11400,8.20318525,75469.3043,Baja_Erendira,-116.3591927,31.255104,7.382866725,9.023503775
14,14,9250,8.20318525,72188.0302,Baja_San Quintin,-115.975757,30.568211,7.382866725,9.023503775
15,15,15750,8.20318525,103360.1342,Baja_San Quintin,-115.933821,30.612741,7.382866725,9.023503775
16,16,13150,8.20318525,94336.63038,Baja_San Quintin,-115.956055,30.540498,7.382866725,9.023503775
17,17,18800,8.20318525,119766.5047,Baja_San Quintin,-116.039187,30.493744,7.382866725,9.023503775
